Label,Path
backward,data/1_backward.wav
bed,data/2_bed.wav
bird,data/3_bird.wav
cat,data/4_cat.wav
dog,data/5_dog.wav
down,data/6_down.wav
eight,data/7_eight.wav
five,data/8_five.wav
follow,data/9_follow.wav
forward,data/10_forward.wav
four,data/11_four.wav
go,data/12_go.wav
happy,data/13_happy.wav
house,data/14_house.wav
learn,data/15_learn.wav
left,data/16_left.wav
marvin,data/17_marvin.wav
nine,data/18_nine.wav
no,data/19_no.wav
off,data/20_off.wav
on,data/21_on.wav
one,data/22_one.wav
right,data/23_right.wav
seven,data/24_seven.wav
sheila,data/25_sheila.wav
six,data/26_six.wav
stop,data/27_stop.wav
three,data/28_three.wav
tree,data/29_tree.wav
two,data/30_two.wav
up,data/31_up.wav
visual,data/32_visual.wav
wow,data/33_wow.wav
yes,data/34_yes.wav
zero,data/35_zero.wav
backward,data/42163d7d-939f-4ffe-85e5-e8dfffb032e9.wav
bed,data/101bab23-5d1a-45d1-a262-df106fd287bc.wav
bird,data/dc43d04e-169a-4eff-9ced-4e9049146bc1.wav
cat,data/2c5288ae-30a7-464f-adbd-507a2a432788.wav
dog,data/846c9325-6e48-45a0-bd9d-c522c8ee2788.wav
down,data/fe3612e3-36fb-4c41-b67e-8281d98b2911.wav
eight,data/d7fa90c4-4a11-430b-bab6-5ab9b4537e92.wav
five,data/77ecf5dd-056a-4234-bca2-26de321bce82.wav
follow,data/91ea5dc1-4153-4ab6-ad45-de658f3f72ee.wav
forward,data/f3e5987c-edc8-49e3-b799-009a9cd92a4f.wav
four,data/216c9ca1-f8c9-4967-9e85-d1ee22c3687b.wav
go,data/ea563def-c174-495a-b664-d934db9ab483.wav
happy,data/fe6c785c-43c4-4962-bfdb-f730bb921253.wav
house,data/05793c70-6f2e-4da1-aa78-d888c74cf190.wav
learn,data/991d8dc6-18e7-40f9-8066-2c9c3a3f888b.wav
left,data/90c4cff2-940f-4724-bdd6-50804755eb9e.wav
marvin,data/c6c32b16-fe27-4962-bdf6-18c2962113af.wav
nine,data/66d20b7a-47c6-4f9d-b3e4-7490bd8bd7f5.wav
no,data/9f195bc3-2d96-4e74-817f-4de3435ec3a8.wav
off,data/fc1dba11-0c4e-4d64-bd6b-bba801ce7cee.wav
on,data/39487211-1e26-48a8-98cc-c44db273150a.wav
one,data/1ac3c23a-1328-4203-a163-1caee408d480.wav
right,data/4b1cd781-2626-4bbc-ac03-11a4e8429070.wav
seven,data/abeb0b33-4172-4e2f-9390-1e059ef01e8c.wav
sheila,data/d34c0a7f-637e-4490-a890-cebc2eb301da.wav
six,data/88a9a5c1-4c7b-46fa-bf8a-841efef8df68.wav
stop,data/8f3b648e-ea88-420b-bde3-26fd8c606327.wav
three,data/16f68e2c-2910-4f2f-a8bf-36f0207d90d4.wav
tree,data/904387ea-a49f-4a2a-8be9-ecd70a226831.wav
two,data/699098fb-36c7-4df1-b8db-42aaf9ab7b4f.wav
up,data/a21de462-2ebf-4c4a-99db-1dcca3948567.wav
visual,data/6e6a6b38-87da-4a01-98d2-3a50d3ce57a0.wav
wow,data/e2d87268-e02c-4e22-9079-c659cba4d34c.wav
yes,data/7466c62f-a568-4c15-8aac-7863b47ec023.wav
zero,data/a2a96d3b-0981-43c8-b119-9808f0fbc1ed.wav
backward,data/902e46d9-e1e9-4c82-950f-7b97e8c768a4.wav
bed,data/60b36104-2b37-4eb4-87de-535935d63ba9.wav
bird,data/c2bfc43f-903d-4dd2-b8e8-88eb4710c63d.wav
cat,data/c0d3728f-e7be-4e8f-aef5-c32de509a2ad.wav
dog,data/544b425c-0e2e-4c77-88c5-286025d3cfe3.wav
down,data/c57fcbe0-13a8-465a-b2fe-13f33b85bc95.wav
eight,data/4c9e2723-8a6c-470d-9491-5be3fb759896.wav
five,data/36663aaf-0baa-42fd-bbf7-9ab8c1300e5f.wav
follow,data/d76aa53b-2469-4720-b106-df72098050dc.wav
forward,data/ebfc62ca-60d4-4d97-8a0e-dd1bf4669b17.wav
four,data/8da8fe9f-6892-4803-8db5-c08be4de37d5.wav
