ID,Label,Path
1,backward,data/1_backward.wav
2,bed,data/2_bed.wav
3,bird,data/3_bird.wav
4,cat,data/4_cat.wav
5,dog,data/5_dog.wav
6,down,data/6_down.wav
7,eight,data/7_eight.wav
8,five,data/8_five.wav
9,follow,data/9_follow.wav
10,forward,data/10_forward.wav
11,four,data/11_four.wav
12,go,data/12_go.wav
13,happy,data/13_happy.wav
14,house,data/14_house.wav
15,learn,data/15_learn.wav
16,left,data/16_left.wav
17,marvin,data/17_marvin.wav
18,nine,data/18_nine.wav
19,no,data/19_no.wav
20,off,data/20_off.wav
21,on,data/21_on.wav
22,one,data/22_one.wav
23,right,data/23_right.wav
24,seven,data/24_seven.wav
25,sheila,data/25_sheila.wav
26,six,data/26_six.wav
27,stop,data/27_stop.wav
28,three,data/28_three.wav
29,tree,data/29_tree.wav
30,two,data/30_two.wav
31,up,data/31_up.wav
32,visual,data/32_visual.wav
33,wow,data/33_wow.wav
34,yes,data/34_yes.wav
35,zero,data/35_zero.wav
backward,36,dys/data/1/36_backward.wav
bed,37,dys/data/1/37_bed.wav
bird,38,dys/data/1/38_bird.wav
cat,39,dys/data/1/39_cat.wav
dog,40,dys/data/1/40_dog.wav
down,41,dys/data/1/41_down.wav
eight,42,dys/data/1/42_eight.wav
five,43,dys/data/1/43_five.wav
follow,44,dys/data/1/44_follow.wav
forward,45,dys/data/1/45_forward.wav
four,46,dys/data/1/46_four.wav
go,47,dys/data/1/47_go.wav
happy,48,dys/data/1/48_happy.wav
house,49,dys/data/1/49_house.wav
learn,50,dys/data/1/50_learn.wav
left,51,dys/data/1/51_left.wav
marvin,52,dys/data/1/52_marvin.wav
nine,53,dys/data/1/53_nine.wav
no,54,dys/data/1/54_no.wav
off,55,dys/data/1/55_off.wav
on,56,dys/data/1/56_on.wav
one,57,dys/data/1/57_one.wav
right,58,dys/data/1/58_right.wav
seven,59,dys/data/1/59_seven.wav
sheila,60,dys/data/1/60_sheila.wav
six,61,dys/data/1/61_six.wav
stop,62,dys/data/1/62_stop.wav
three,63,dys/data/1/63_three.wav
tree,64,dys/data/1/64_tree.wav
two,65,dys/data/1/65_two.wav
up,66,dys/data/1/66_up.wav
visual,67,dys/data/1/67_visual.wav
wow,68,dys/data/1/68_wow.wav
yes,69,dys/data/1/69_yes.wav
zero,70,dys/data/1/70_zero.wav

backward,data/97877bd6-4093-47b0-944a-5818a46f7046.wav
bed,data/09854fc0-7c9f-48b4-9bd3-6fb340bf127b.wav
bird,data/cc488747-6215-4a23-8a1b-b5986edf9c92.wav
cat,data/daa9a93c-fdc7-45cc-996f-293be248230b.wav
dog,data/9266794a-39ec-433e-a351-07f956a33177.wav
down,data/e3af251f-f478-4924-9cae-893c3a617972.wav
eight,data/8feab856-13b8-40b6-b8d5-cc4ae32637e3.wav
five,data/28df3321-5f66-4e0c-83e0-94b7fcf16206.wav
follow,data/07bc19e5-d06f-47ec-bced-e42cbd3aa7a6.wav
forward,data/9da1000c-a767-432e-9a82-98ef62ce851a.wav
four,data/a987d63b-bed7-44a6-a746-c397503e7431.wav
go,data/e50e183e-aa36-41f9-8d8a-603100f4a37f.wav
happy,data/c3569b5b-74c1-4ab7-b1c6-18209567fd8d.wav
house,data/461be2dd-8759-47ff-b188-a242aee387e4.wav
learn,data/a5d863d5-07e0-4437-a611-f6a20fa2aa95.wav
left,data/9aecf30b-3780-4aa9-8087-941cfd12121d.wav
marvin,data/de8ace22-9593-40ef-a7a1-ee32fc09dee9.wav
nine,data/05d3fc2f-0087-4dab-bf57-fb4265ab4a96.wav
no,data/ce6210f2-8a01-414f-9053-6d195fe1abbd.wav
off,data/ed8e0217-c259-48e8-9ca8-6dcbc5fe2bb3.wav
on,data/6c12fa9c-cbbc-4f7e-b03c-1c3d5963a5f5.wav
one,data/bec7589a-60cc-4ae0-87ad-c675a447deae.wav
right,data/bda3e875-2ca4-4c0a-aea3-011b7be285b1.wav
seven,data/2dfc37a8-eae4-42bd-b1d6-9a2962a2870a.wav
sheila,data/76029dae-c35a-4746-84cc-70cf9fd274a7.wav
six,data/c166e931-9486-4b41-b5f8-443239073363.wav
stop,data/0e296519-4f85-4cd8-b74c-c0f97425a7df.wav
three,data/5a03a6e3-792f-476a-a0a2-f323878340c6.wav
tree,data/a7fa2d54-6ec7-4f14-8bfb-9a8d04078ac9.wav
two,data/ca716b7b-494c-4dbc-aaf6-b95840defebf.wav
up,data/6ada1d68-d67e-4a28-8705-eadad13d185c.wav
visual,data/e624c750-0d8f-46ef-82e5-cf516e8866e0.wav
wow,data/2ea3a7ec-37ff-4156-a9c0-975f00cbce02.wav
yes,data/0c519585-87a2-4ac8-b55f-6ee1d6814eb2.wav
zero,data/bc68efda-2c1f-42b1-88d0-f6ab62eba319.wav
backward,data/559c4e00-c6b5-46e4-b9fd-f934d3024598.wav
bed,data/7947becb-dd3e-4368-a893-0abd78c0ad58.wav
bird,data/f7bf9ff5-a5db-409e-917f-3498b9a12bf5.wav
cat,data/0a5a42cc-c753-46ca-97fb-7e1a83e4d30e.wav
dog,data/41e1feae-40c9-46c4-9e8e-25c248a83e37.wav
down,data/b1db356e-1e6a-4992-825a-e9f8083c6cd0.wav
eight,data/798953d3-46c2-483f-9a03-a672e4e505c5.wav
five,data/d435b7ae-841c-494d-949b-7e54f518f415.wav
follow,data/6353efe0-4dca-413f-af0f-1d153fbd8072.wav
forward,data/1657bcba-8925-4203-9eeb-129d2ca5a30f.wav
four,data/0cfbdf13-fa27-433d-b708-e7d53e6d06a2.wav
go,data/7ce6eb94-af0b-48a2-a1d5-cbfa4e37f262.wav
happy,data/88c5e745-1c01-450b-8167-5f49f0eb7601.wav
house,data/ca61d1f7-00f4-4743-a515-bdff00dc5a90.wav
learn,data/f01332dd-7971-4302-9294-4f066fc394c3.wav
left,data/3f5f4544-7199-44f8-b7c1-df4005143fbf.wav
marvin,data/d5170da1-c8e4-4f0d-9556-9022e0ccffb0.wav
nine,data/a1a2dc2a-7b65-4fb1-8b92-73d2ee8062d5.wav
no,data/02003432-8653-4214-9420-f02f5e8ad98a.wav
off,data/4db72740-e45c-40a0-8c19-c8d2a22e34d6.wav
on,data/0aef9e87-3ce1-4a68-b8ea-10363284c5c2.wav
one,data/1b5a11e6-cbfd-4d17-89fc-fbd088c1ad2f.wav
right,data/c8cfa884-a4c5-44a9-89b1-7022768082b6.wav
seven,data/02bbd873-9f9c-4c19-b800-a04236061888.wav
sheila,data/f8490533-b5a6-40c1-9bad-950862fc6adf.wav
six,data/e78a1dc4-71c7-4e7a-a366-5a7d47509511.wav
stop,data/ea8e5e22-4fc6-42ef-b5bd-e51f08195982.wav
three,data/90301f93-9b83-4365-b6bb-bf90297bcad3.wav
tree,data/4297fb70-f715-4cba-9613-ddbad1034a47.wav
two,data/782f64a4-1705-402a-a472-be94b4300528.wav
up,data/34dd6076-8c44-4fbb-b0b1-b98eafdebe12.wav
visual,data/f0e8a819-2a49-4454-b263-3847bb603354.wav
wow,data/38509cd3-604d-42a2-a817-f960b7eebd56.wav
yes,data/ca8e12c5-dbd0-4603-80d0-565d24bed63b.wav
zero,data/d773eef5-bce9-4c7d-a8cc-b8ebea3bf74f.wav
backward,data/4aa821a1-9730-4d91-8ed9-c92706ea1956.wav
bed,data/b83676ea-4d34-45b2-9d4c-c8d579184433.wav
bird,data/d68caebf-ffaa-44fb-9d39-f1efe199f0b7.wav
cat,data/e19748e3-bf3c-413e-a430-8b1be8834fcb.wav
dog,data/56ef236b-e086-4405-a61f-fa48ac8940c2.wav
down,data/49dfdddc-51e5-40a6-9635-f1c1da42b8d6.wav
eight,data/7d845229-9422-4d93-ab73-61a32cb0974b.wav
five,data/d8057534-834f-4730-a123-a92b1d84457b.wav
follow,data/6c9a916c-1d0b-4f92-b8ad-2aa6aa03e6e8.wav
forward,data/3cf6850f-f60f-4da6-8432-11e79832d9a3.wav
four,data/993d85e7-1459-4557-913a-61eaf27eeeb9.wav
go,data/ca299624-2258-489c-a049-d898a20ae19b.wav
happy,data/c17c46b6-ead4-4dcd-a410-da9eb88d950b.wav
house,data/5d443878-45ca-4663-ae2d-c9317ef5c49d.wav
learn,data/0f3fb32c-2a71-4807-8aa9-7a2e0e870b7e.wav
left,data/e6c9e2c6-996f-4d03-bdbc-23442e36bc36.wav
marvin,data/a1b3907c-0bd7-440b-aa08-aa51a87a8ee9.wav
nine,data/da7cfeb6-b2c4-4f5e-bafd-4f66dd567aa0.wav
no,data/aa50d763-5aaa-4b92-bed0-0c6e3859157e.wav
off,data/13ef0ffd-5b53-4f37-bef1-c7978cf6dcef.wav
on,data/49a74f10-5cab-4851-8839-d9dd1255dc20.wav
one,data/5e89f970-3909-4284-891c-aa145e1c36d2.wav
right,data/7c59def5-b3f5-4e02-ae45-a3cf78c0db13.wav
seven,data/13a7e2d9-0eae-4b09-95d7-69a935ecc442.wav
sheila,data/231baf0f-a706-434e-a6c7-723a80889423.wav
six,data/e3f5601e-c6a5-4f3e-a458-a9e60c2177a2.wav
stop,data/e5461523-7e4b-43b9-8f54-1685f190b7d0.wav
three,data/ae1e9c7f-53e2-4a03-b19d-b566ae7991a2.wav
tree,data/7c6cb6a4-242b-416d-abc1-18bb3b679df4.wav
two,data/9476302f-508a-4008-bcdb-495f0cbb4d1d.wav
up,data/fb1deec6-75bc-4e8c-b771-2fad0b25ae97.wav
visual,data/2cf7d662-3855-4d9c-b371-3ce3232233b1.wav
wow,data/9be445ef-8f11-4858-a3db-a31718133835.wav
yes,data/a02618c8-ed01-4017-a9d5-a18108d4364f.wav
zero,data/e5c882c8-0944-45fc-b468-406848234ec3.wav
backward,data/7b8af6ce-8920-408d-9d01-bb660b392de2.wav
bed,data/281a1400-d693-4cc7-b308-f2a1a9f9edc3.wav
bird,data/fd6ed1ff-f606-4164-ac12-6462e11a4121.wav
cat,data/1f7508f8-c04d-45eb-bea3-d8f078dbf6da.wav
dog,data/b1253363-7e8a-4f30-956e-57e0dc3a769b.wav
down,data/4c1cc077-513d-4db8-b12e-70a3b92fc508.wav
eight,data/b8660f76-a9be-4a37-af6d-4532543015e4.wav
five,data/adeafe7f-899f-4a06-b3fc-a5872e6502b0.wav
follow,data/1b711318-cd1c-44d6-966a-92b0012cf151.wav
forward,data/bbd90b09-72bf-4015-897d-e6a34d312ea6.wav
four,data/4ff29f0b-96af-4bce-8366-deed8391585e.wav
go,data/70460014-aad6-4aae-b975-45c06bed1692.wav
happy,data/c38a54fa-a401-49ae-8aa9-99c23c4f9fc3.wav
house,data/bfb4c4e1-35f2-4d4e-8b4e-11db1024b8ad.wav
learn,data/082d55c2-4459-4984-82bb-2cfcb47a2585.wav
left,data/9ecf4873-4891-42c7-ba06-ae8c0b5fffd4.wav
marvin,data/2173ce89-3c01-4a7d-a270-252993193d71.wav
nine,data/75426bbf-b94e-481e-8dd1-1a271f3b8b0d.wav
no,data/16b6aa9a-86ab-4b9d-b7a6-6712dc81869e.wav
off,data/1964f4aa-dccc-41f5-b7ec-1d7bff522f53.wav
on,data/aaa4d554-75c2-4f74-a18d-5a0c14a7e856.wav
one,data/aaa72f15-3f0c-47db-9627-ec0d5c421778.wav
right,data/ca165b8c-9e20-4ed4-bc5b-6063855fdb98.wav
seven,data/34c1f444-6de5-43a7-9e13-84e1f4d0b307.wav
sheila,data/4676cca3-d11b-4138-8364-89e9702e294f.wav
six,data/83ee9f2d-9f2e-49cb-a886-fe658b5bb85d.wav
stop,data/d3be0fd1-73cb-4462-b30f-df2cca12315c.wav
three,data/7f04dea5-3a9f-4890-9aa8-f2b46564294d.wav
tree,data/cc1dec22-8162-49e2-9d10-06ec1d722cb0.wav
two,data/3ce8b45b-ac4c-4aef-995c-b18e4b7247b6.wav
up,data/5b364b17-939c-4c1c-8516-d4fcda25498e.wav
visual,data/81fe59e9-f472-4ae9-afac-5471d99874cd.wav
wow,data/7736f80a-3827-46db-9dd6-d417b33c4a1c.wav
yes,data/bc5beb26-26b4-4ea5-b500-86ea0f72fe9c.wav
zero,data/3e3af2b2-b4c6-4477-87bd-ab1a202c39c6.wav
backward,data/ba05bf7e-3d74-41bb-872c-d6447f0152b4.wav
bed,data/02247ab1-fbb2-4378-b131-fe92a6506af9.wav
bird,data/4cacf69b-d43f-4cfd-a735-763cacfdbd24.wav
cat,data/959b21c1-d656-4345-95ec-1c7a6e461a3c.wav
dog,data/dda47f19-f472-43e9-a2fb-ae419efc5fb1.wav
down,data/5f021003-b2d0-45fa-8097-8bacb883a27f.wav
eight,data/8db8092d-8b77-4521-be4f-2753518c185d.wav
five,data/8b8c3393-d680-48b9-9c9e-10e3c9332486.wav
follow,data/5726c16d-dc5f-4b24-9084-287400dfecd4.wav
forward,data/479ef062-3efc-4b7a-9ef7-a0abadc2bbf0.wav
four,data/52da71d5-67c5-47d8-80ab-acfbbcd60277.wav
go,data/c7318a47-f61d-4912-aa77-bfc8409128e6.wav
happy,data/cb9a2c23-a97e-4551-9437-454d50bf4262.wav
house,data/41ef04c8-b67f-451f-a76e-4c20d35e0188.wav
learn,data/81f00062-585d-4d00-91bb-a4e29f7e830b.wav
left,data/a7d359ca-2d84-4321-a52d-96f8b78e927e.wav
marvin,data/d369a0cc-0e88-461a-8fc0-9254c93c3a82.wav
nine,data/cfed7f7d-c7c2-40f3-8c0a-73d1a0765fb2.wav
no,data/3de940c3-1335-43a6-94f3-662e2b2c72a4.wav
off,data/7f70c806-0d33-4aba-b45f-210a1c880b4d.wav
on,data/db7ad431-3c6d-42ba-8ba7-5b7b529a98d3.wav
one,data/2d0c3048-1ada-4144-8fb3-52dc4c425e98.wav
right,data/f20c6ec2-4021-4220-b82e-a0bc8874ca15.wav
seven,data/4b36f43f-4754-4d12-a7f3-aff52afc7d1b.wav
sheila,data/b8130861-1acc-4f01-9508-4a88862dded9.wav
six,data/6daf3df1-d696-48b2-a037-55fdfcfb51b2.wav
